TimeS	Longitude	Latitude	PrDM	T090C	T190C	C0S/m	C1S/m	CStarTr0	FlECO-AFL	TurbWETntu0	Sbeox0V	AltM	Nbf	DepSM	Density00	Density11	Sal00	Sal11	SvCM	SvCM1	Sbeox0ML/L	Sbeox0Mg/L	Sbeox0Mm/Kg	Dz/dtM	T2-T190C	Flag
1164.062	-120.03038	34.26214	581.976	6.5583	6.558	3.446208	3.446795	93.3531	0.0595	0.6296	0.5158	3.3	1	577	1029.5487	1029.5541	34.2492	34.256	1485.56	1485.57	0.0319	0.0456	1.388	-0.148	-0.0003	0.00E+00
1160.798	-120.03036	34.26213	580.966	6.5581	6.5578	3.446146	3.446726	93.3728	0.036	0.6345	0.5157	4.32	1	576	1029.5442	1029.5496	34.2492	34.256	1485.55	1485.55	0.0317	0.0453	1.377	-0.188	-0.0003	0.00E+00
1164.706	-120.03036	34.26212	579.956	6.5579	6.5572	3.446083	3.446629	93.3935	0.054	0.6267	0.5157	5.23	1	575	1029.5396	1029.545	34.2492	34.256	1485.53	1485.53	0.0316	0.0452	1.374	-0.348	-0.0007	0.00E+00
1219.939	-120.03037	34.26213	578.946	6.557	6.5563	3.445958	3.446507	93.3069	0.0323	0.6336	0.5156	6.32	2	574	1029.5352	1029.5405	34.2492	34.256	1485.51	1485.51	0.0312	0.0447	1.359	-0.173	-0.0007	0.00E+00
1220.935	-120.03038	34.26214	577.936	6.5569	6.5564	3.445906	3.446475	93.3464	0.0245	0.6394	0.5156	7.29	2	573	1029.5305	1029.536	34.2492	34.256	1485.49	1485.5	0.0313	0.0448	1.363	-0.236	-0.0005	0.00E+00
1227.967	-120.03038	34.26214	576.926	6.5569	6.5564	3.445861	3.446424	93.3672	0.0545	0.6335	0.5156	8.37	2	572	1029.526	1029.5314	34.2492	34.256	1485.47	1485.48	0.0314	0.0449	1.366	-0.154	-0.0005	0.00E+00
1230.347	-120.03038	34.26214	575.916	6.557	6.5563	3.445812	3.446374	93.3534	0.0447	0.6397	0.5156	9.15	2	571	1029.5212	1029.5267	34.2491	34.256	1485.46	1485.46	0.0313	0.0447	1.361	-0.615	-0.0006	0.00E+00
1252.997	-120.03036	34.26213	574.906	6.5568	6.5563	3.445765	3.446334	93.3299	0.0446	0.6348	0.5156	10.45	2	570	1029.5168	1029.5222	34.2492	34.256	1485.44	1485.45	0.0314	0.0449	1.365	-0.006	-0.0005	0.00E+00
1283.663	-120.03034	34.26212	573.896	6.5571	6.5563	3.44574	3.44629	93.3409	0.0469	0.6387	0.5156	11.38	3	569	1029.5121	1029.5177	34.2492	34.256	1485.43	1485.43	0.0314	0.0448	1.364	-0.232	-0.0008	0.00E+00
1284.118	-120.03036	34.26212	572.886	6.5574	6.5568	3.445733	3.446293	93.3168	0.0373	0.6469	0.5156	12.42	3	568	1029.5076	1029.5131	34.2492	34.2561	1485.41	1485.42	0.0314	0.0449	1.366	-0.109	-0.0007	0.00E+00
1290.791	-120.03036	34.26212	571.876	6.5574	6.5568	3.445682	3.446251	93.3219	0.0429	0.644	0.5156	13.44	3	567	1029.5029	1029.5084	34.2492	34.256	1485.39	1485.4	0.0314	0.0449	1.367	-0.186	-0.0005	0.00E+00
1296.924	-120.03036	34.26212	570.866	6.5576	6.5572	3.445657	3.446238	93.2589	0.041	0.6475	0.5156	14.46	3	566	1029.4983	1029.5038	34.2492	34.2561	1485.38	1485.38	0.0314	0.0449	1.366	-0.141	-0.0004	0.00E+00
1333.604	-120.03038	34.26213	569.856	6.5579	6.5574	3.445641	3.446216	93.2948	0.0335	0.6451	0.5157	15.5	4	565	1029.4938	1029.4991	34.2492	34.2561	1485.36	1485.37	0.0315	0.045	1.369	-0.006	-0.0005	0.00E+00
1356.25	-120.03038	34.26212	568.846	6.5594	6.5584	3.445735	3.446262	93.3889	0.0414	0.626	0.5157	16.52	4	564	1029.4889	1029.4944	34.2492	34.2561	1485.35	1485.36	0.0315	0.045	1.369	-0.082	-0.001	0.00E+00
1366.566	-120.03038	34.26212	567.836	6.561	6.5596	3.445825	3.446321	93.4409	0.0404	0.6168	0.5156	17.47	4	563	1029.484	1029.4896	34.2491	34.256	1485.34	1485.34	0.0314	0.0448	1.364	-0.162	-0.0014	0.00E+00
1376.207	-120.03036	34.26212	566.826	6.5626	6.5612	3.445932	3.446418	93.5724	0.0391	0.6099	0.5157	18.42	4	562	1029.4792	1029.4847	34.2492	34.256	1485.33	1485.33	0.0316	0.0451	1.372	-0.286	-0.0014	0.00E+00
1393.677	-120.03036	34.26212	565.816	6.5646	6.5635	3.446057	3.446583	93.9387	0.041	0.604	0.5156	19.55	4	561	1029.4742	1029.4797	34.2491	34.256	1485.32	1485.33	0.0314	0.0449	1.366	-0.055	-0.001	0.00E+00
1426.949	-120.03036	34.26212	564.806	6.5653	6.5651	3.446086	3.446692	94.2901	0.0398	0.5709	0.5156	20.57	5	560	1029.4696	1029.475	34.2492	34.256	1485.31	1485.32	0.0314	0.0449	1.365	-0.041	-0.0002	0.00E+00
1437.519	-120.03036	34.26212	563.797	6.5657	6.5651	3.446066	3.446647	94.3931	0.0392	0.5594	0.5156	21.35	5	559	1029.4648	1029.4705	34.2491	34.256	1485.29	1485.3	0.0313	0.0447	1.36	-0.499	-0.0005	0.00E+00
1448.263	-120.03036	34.26212	562.787	6.5658	6.5653	3.446039	3.446615	94.4146	0.0365	0.5581	0.5156	22.6	5	558	1029.4603	1029.4658	34.2491	34.256	1485.28	1485.28	0.0312	0.0446	1.357	-0.127	-0.0005	0.00E+00
1454.13	-120.03036	34.26212	561.777	6.566	6.5655	3.446017	3.446594	94.4552	0.0472	0.5548	0.5157	23.52	5	557	1029.4557	1029.4612	34.2492	34.256	1485.26	1485.27	0.0315	0.045	1.37	-0.251	-0.0005	0.00E+00
1465.404	-120.03036	34.26212	560.767	6.5659	6.5655	3.445959	3.446542	94.4184	0.0379	0.5617	0.5156	24.52	5	556	1029.451	1029.4565	34.2491	34.256	1485.24	1485.25	0.0312	0.0446	1.358	-0.268	-0.0004	0.00E+00
1489.877	-120.03036	34.26212	559.757	6.5664	6.5659	3.445964	3.446537	94.456	0.0425	0.5541	0.5156	25.68	6	555	1029.4465	1029.452	34.2492	34.256	1485.23	1485.24	0.0311	0.0444	1.351	0.01	-0.0005	0.00E+00
1514.999	-120.03036	34.26212	558.747	6.5668	6.5664	3.445955	3.446543	94.5332	0.0403	0.5427	0.5155	26.65	6	554	1029.4419	1029.4473	34.2492	34.2561	1485.21	1485.22	0.0308	0.044	1.338	-0.099	-0.0004	0.00E+00
